timestamp_utc,arm,generator,concurrency,duration_s,ok,errors,rps,error_rate_pct,p50_ms,p99_ms,max_ms,meets_slo,nginx_version,yarp_version,http_versions,max_cached_connections,method,response_bytes,request_bytes,delay_ms,loss_percent,keepalive,proxy_rss_peak_bytes,proxy_cpu_avg_pct
2026-08-27T15:25:49.6799830Z,twp-reverse-http1-plain-to-http3,dotnet-httpclient,8,8.010,65857,0,8221.7,0.0000,0.83,2.92,71.88,1,nginx version: nginx/1.31.3,,1.1:65857,,GET,56,0,0,0.00,1,80605184,38.99
2026-08-27T15:25:59.7101694Z,twp-reverse-http1-plain-to-http3,dotnet-httpclient,16,8.012,125096,0,15613.4,0.0000,0.97,2.08,17.10,1,nginx version: nginx/1.31.3,,1.1:125096,,GET,56,0,0,0.00,1,90603520,51.95
2026-08-27T15:26:09.7464357Z,twp-reverse-http1-plain-to-http3,dotnet-httpclient,32,8.015,152735,0,19056.0,0.0000,1.58,3.28,15.77,1,nginx version: nginx/1.31.3,,1.1:152735,,GET,56,0,0,0.00,1,93986816,51.61
2026-08-27T15:26:19.7930386Z,twp-reverse-http1-plain-to-http3,dotnet-httpclient,64,8.014,176910,0,22073.8,0.0000,2.69,6.05,21.97,1,nginx version: nginx/1.31.3,,1.1:176910,,GET,56,0,0,0.00,1,113635328,48.81
2026-08-27T15:26:30.2681449Z,yarp-reverse-http1-plain-to-http3,dotnet-httpclient,8,8.008,79040,0,9869.7,0.0000,0.70,1.90,15.70,1,nginx version: nginx/1.31.3,YARP 2.3.0,1.1:79040,,GET,56,0,0,0.00,1,91361280,53.81
2026-08-27T15:26:40.3036272Z,yarp-reverse-http1-plain-to-http3,dotnet-httpclient,16,8.016,123896,0,15455.5,0.0000,0.95,2.15,24.49,1,nginx version: nginx/1.31.3,YARP 2.3.0,1.1:123896,,GET,56,0,0,0.00,1,93933568,51.40
2026-08-27T15:26:50.3363948Z,yarp-reverse-http1-plain-to-http3,dotnet-httpclient,32,8.014,155076,0,19350.8,0.0000,1.56,3.22,19.37,1,nginx version: nginx/1.31.3,YARP 2.3.0,1.1:155076,,GET,56,0,0,0.00,1,104812544,51.18
2026-08-27T15:27:00.3873103Z,yarp-reverse-http1-plain-to-http3,dotnet-httpclient,64,8.010,165591,0,20673.9,0.0000,2.83,7.58,43.20,1,nginx version: nginx/1.31.3,YARP 2.3.0,1.1:165591,,GET,56,0,0,0.00,1,123588608,49.69
2026-08-27T15:27:10.8646442Z,twp-reverse-http1-tls,dotnet-httpclient,8,8.012,149489,0,18658.5,0.0000,0.39,1.10,14.38,1,nginx version: nginx/1.31.3,,1.1:149489,,GET,56,0,0,0.00,1,72572928,49.50
2026-08-27T15:27:20.8977280Z,twp-reverse-http1-tls,dotnet-httpclient,16,8.011,178760,0,22312.9,0.0000,0.66,1.53,24.41,1,nginx version: nginx/1.31.3,,1.1:178760,,GET,56,0,0,0.00,1,77230080,47.50
2026-08-27T15:27:30.9466926Z,twp-reverse-http1-tls,dotnet-httpclient,32,8.009,202652,0,25302.2,0.0000,1.19,2.39,27.59,1,nginx version: nginx/1.31.3,,1.1:202652,,GET,56,0,0,0.00,1,76210176,48.46
2026-08-27T15:27:41.0056195Z,twp-reverse-http1-tls,dotnet-httpclient,64,8.015,212086,0,26460.9,0.0000,2.25,4.15,95.11,1,nginx version: nginx/1.31.3,,1.1:212086,,GET,56,0,0,0.00,1,91537408,48.88
2026-08-27T15:27:51.6324811Z,yarp-reverse-http1-tls,dotnet-httpclient,8,8.029,121580,0,15143.0,0.0000,0.45,1.36,17.51,1,nginx version: nginx/1.31.3,YARP 2.3.0,1.1:121580,,GET,56,0,0,0.00,1,94715904,53.87
2026-08-27T15:28:01.6713894Z,yarp-reverse-http1-tls,dotnet-httpclient,16,8.015,158134,0,19729.6,0.0000,0.78,1.60,25.03,1,nginx version: nginx/1.31.3,YARP 2.3.0,1.1:158134,,GET,56,0,0,0.00,1,90849280,52.53
2026-08-27T15:28:11.7062518Z,yarp-reverse-http1-tls,dotnet-httpclient,32,8.016,175048,0,21838.6,0.0000,1.40,2.70,42.90,1,nginx version: nginx/1.31.3,YARP 2.3.0,1.1:175048,,GET,56,0,0,0.00,1,98988032,50.39
2026-08-27T15:28:21.7573070Z,yarp-reverse-http1-tls,dotnet-httpclient,64,8.008,186313,0,23266.6,0.0000,2.61,4.48,84.24,1,nginx version: nginx/1.31.3,YARP 2.3.0,1.1:186313,,GET,56,0,0,0.00,1,103956480,50.05
2026-08-27T15:28:32.3213011Z,nginx-reverse-http1-tls,dotnet-httpclient,8,8.010,101804,0,12709.8,0.0000,0.56,1.30,27.51,1,nginx version: nginx/1.31.3,,1.1:101804,,GET,56,0,0,0.00,1,143929344,24.78
2026-08-27T15:28:42.3495906Z,nginx-reverse-http1-tls,dotnet-httpclient,16,8.013,104325,0,13020.0,0.0000,1.13,4.41,41.79,1,nginx version: nginx/1.31.3,,1.1:104325,,GET,56,0,0,0.00,1,144171008,24.87
2026-08-27T15:28:52.3713326Z,nginx-reverse-http1-tls,dotnet-httpclient,32,8.003,105421,0,13172.6,0.0000,2.23,6.42,49.46,1,nginx version: nginx/1.31.3,,1.1:105421,,GET,56,0,0,0.00,1,144363520,24.80
2026-08-27T15:29:02.4006724Z,nginx-reverse-http1-tls,dotnet-httpclient,64,8.006,101983,0,12739.0,0.0000,4.67,12.94,110.58,1,nginx version: nginx/1.31.3,,1.1:101983,,GET,56,0,0,0.00,1,144461824,24.70
2026-08-27T15:29:12.9286630Z,twp-reverse-http1-mitm,dotnet-httpclient,8,8.014,136018,0,16972.1,0.0000,0.42,1.14,19.34,1,nginx version: nginx/1.31.3,,1.1:136018,,GET,56,0,0,0.00,1,77389824,45.82
2026-08-27T15:29:22.9610863Z,twp-reverse-http1-mitm,dotnet-httpclient,16,8.011,166836,0,20826.6,0.0000,0.72,1.64,25.97,1,nginx version: nginx/1.31.3,,1.1:166836,,GET,56,0,0,0.00,1,79753216,43.76
2026-08-27T15:29:33.0151336Z,twp-reverse-http1-mitm,dotnet-httpclient,32,8.021,185402,0,23113.8,0.0000,1.30,2.62,43.34,1,nginx version: nginx/1.31.3,,1.1:185402,,GET,56,0,0,0.00,1,73519104,51.44
2026-08-27T15:29:43.0808852Z,twp-reverse-http1-mitm,dotnet-httpclient,64,8.017,196243,0,24478.1,0.0000,2.45,4.31,66.40,1,nginx version: nginx/1.31.3,,1.1:196243,,GET,56,0,0,0.00,1,83722240,48.34
2026-08-27T15:29:53.7629412Z,yarp-reverse-http1-tls-to-https,dotnet-httpclient,8,8.010,110951,0,13852.2,0.0000,0.48,1.41,22.65,1,nginx version: nginx/1.31.3,YARP 2.3.0,1.1:110951,,GET,56,0,0,0.00,1,92938240,53.71
2026-08-27T15:30:03.7964794Z,yarp-reverse-http1-tls-to-https,dotnet-httpclient,16,8.013,147047,0,18350.2,0.0000,0.84,1.70,24.86,1,nginx version: nginx/1.31.3,YARP 2.3.0,1.1:147047,,GET,56,0,0,0.00,1,93179904,51.91
2026-08-27T15:30:13.8332924Z,yarp-reverse-http1-tls-to-https,dotnet-httpclient,32,8.015,163041,0,20341.6,0.0000,1.50,2.74,42.65,1,nginx version: nginx/1.31.3,YARP 2.3.0,1.1:163041,,GET,56,0,0,0.00,1,93655040,48.48
2026-08-27T15:30:23.8922580Z,yarp-reverse-http1-tls-to-https,dotnet-httpclient,64,8.017,173407,0,21629.3,0.0000,2.80,4.91,78.54,1,nginx version: nginx/1.31.3,YARP 2.3.0,1.1:173407,,GET,56,0,0,0.00,1,107507712,48.53
2026-08-27T15:30:34.3347044Z,twp-reverse-http1-to-h2c,dotnet-httpclient,8,7.999,134335,0,16793.7,0.0000,0.43,1.26,28.36,1,nginx version: nginx/1.31.3,,1.1:134335,,GET,56,0,0,0.00,1,79138816,46.98
2026-08-27T15:30:44.3845214Z,twp-reverse-http1-to-h2c,dotnet-httpclient,16,8.016,184447,0,23011.0,0.0000,0.66,1.51,28.68,1,nginx version: nginx/1.31.3,,1.1:184447,,GET,56,0,0,0.00,1,109174784,46.51
2026-08-27T15:30:54.4182777Z,twp-reverse-http1-to-h2c,dotnet-httpclient,32,8.007,239418,0,29902.4,0.0000,1.04,2.06,46.20,1,nginx version: nginx/1.31.3,,1.1:239418,,GET,56,0,0,0.00,1,109826048,48.94
2026-08-27T15:31:04.4746348Z,twp-reverse-http1-to-h2c,dotnet-httpclient,64,8.008,275670,0,34423.7,0.0000,1.81,3.47,97.30,1,nginx version: nginx/1.31.3,,1.1:275670,,GET,56,0,0,0.00,1,114913280,46.94
2026-08-27T15:31:15.1045826Z,yarp-reverse-http1-to-h2c,dotnet-httpclient,8,8.009,124623,0,15559.4,0.0000,0.43,1.27,15.07,1,nginx version: nginx/1.31.3,YARP 2.3.0,1.1:124623,,GET,56,0,0,0.00,1,95248384,57.06
2026-08-27T15:31:25.1312038Z,yarp-reverse-http1-to-h2c,dotnet-httpclient,16,8.002,205969,0,25740.0,0.0000,0.59,1.50,23.69,1,nginx version: nginx/1.31.3,YARP 2.3.0,1.1:205969,,GET,56,0,0,0.00,1,91566080,45.78
2026-08-27T15:31:35.1793234Z,yarp-reverse-http1-to-h2c,dotnet-httpclient,32,8.014,246194,0,30720.7,0.0000,0.99,2.12,46.63,1,nginx version: nginx/1.31.3,YARP 2.3.0,1.1:246194,,GET,56,0,0,0.00,1,107798528,47.26
2026-08-27T15:31:45.2274054Z,yarp-reverse-http1-to-h2c,dotnet-httpclient,64,8.009,270551,0,33781.9,0.0000,1.81,3.62,80.72,1,nginx version: nginx/1.31.3,YARP 2.3.0,1.1:270551,,GET,56,0,0,0.00,1,113819648,48.71
2026-08-27T15:31:55.7554565Z,twp-reverse-http11-to-http2,dotnet-httpclient,8,8.015,116000,0,14472.5,0.0000,0.48,1.42,50.41,1,nginx version: nginx/1.31.3,,1.1:116000,,GET,56,0,0,0.00,1,76582912,49.16
2026-08-27T15:32:05.7749560Z,twp-reverse-http11-to-http2,dotnet-httpclient,16,8.003,160725,0,20083.8,0.0000,0.72,1.91,58.58,1,nginx version: nginx/1.31.3,,1.1:160725,,GET,56,0,0,0.00,1,93868032,45.39
2026-08-27T15:32:15.8291300Z,twp-reverse-http11-to-http2,dotnet-httpclient,32,8.015,214184,0,26723.5,0.0000,1.14,2.53,115.56,1,nginx version: nginx/1.31.3,,1.1:214184,,GET,56,0,0,0.00,1,95920128,46.35
2026-08-27T15:32:25.8848523Z,twp-reverse-http11-to-http2,dotnet-httpclient,64,8.013,251744,0,31418.2,0.0000,1.93,3.97,221.12,1,nginx version: nginx/1.31.3,,1.1:251744,,GET,56,0,0,0.00,1,110424064,48.77
2026-08-27T15:32:36.5618195Z,yarp-reverse-http11-to-http2,dotnet-httpclient,8,8.013,117121,0,14615.5,0.0000,0.46,1.42,17.78,1,nginx version: nginx/1.31.3,YARP 2.3.0,1.1:117121,,GET,56,0,0,0.00,1,94470144,54.67
2026-08-27T15:32:46.6097218Z,yarp-reverse-http11-to-http2,dotnet-httpclient,16,8.025,191977,0,23921.2,0.0000,0.63,1.53,22.30,1,nginx version: nginx/1.31.3,YARP 2.3.0,1.1:191977,,GET,56,0,0,0.00,1,94121984,49.89
2026-08-27T15:32:56.6642802Z,yarp-reverse-http11-to-http2,dotnet-httpclient,32,8.015,227261,0,28355.0,0.0000,1.08,2.21,42.10,1,nginx version: nginx/1.31.3,YARP 2.3.0,1.1:227261,,GET,56,0,0,0.00,1,103186432,47.68
2026-08-27T15:33:06.7215841Z,yarp-reverse-http11-to-http2,dotnet-httpclient,64,8.018,248902,0,31044.2,0.0000,1.97,3.80,77.28,1,nginx version: nginx/1.31.3,YARP 2.3.0,1.1:248902,,GET,56,0,0,0.00,1,112431104,48.14
